kof97.zip|KOF 97|拳皇97
atetris.zip|Tetris(set1)|俄罗斯方块(第1套)
atetrisa.zip|Tetris(set2)|俄罗斯方块(第2套)
atetrisb.zip|Tetris(bootlegset1)|俄罗斯方块(A版第1套)
atetrisb2.zip|Tetris(bootlegset2)|俄罗斯方块(A版第2套)
atetrisc.zip|Tetris(cocktailset1)|俄罗斯方块(台面型第1套)
atetrisc2.zip|Tetris(cocktailset2)|俄罗斯方块(台面型第2套)
athena.zip|Athena|雅典娜
athenab.zip|Athena(bootleg)|雅典娜(A版)
atlantis.zip|BattleofAtlantis(set1)|亚特兰蒂斯大作战(第1套)
atlantis2.zip|BattleofAtlantis(set2)|亚特兰蒂斯大作战(第2套)
atlantisb.zip|BattleofAtlantis(bootleg)|亚特兰蒂斯大作战(A版)
atomboya.zip|AtomicBoy(revisionA)|原子男孩(修正版A)
atomicp.zip|AtomicPoint(Korea)|原子方块(韩版)
atompunk.zip|AtomicPunk(US)|炸弹人(美版)
aurail.zip|Aurail(set3-US-unprotected)|光环坦克(第3套-美版-无保护版)
aurail1.zip|Aurail(set2-World-FD1089B317-0168)|光环坦克(第2套-世界版-FD1089B317-0168)
aurail1d.zip|Aurail(set2-World-FD1089B317-0168decrypted)|光环坦克(第2套-世界版-FD1089B317-0168解密版)
aurailj.zip|Aurail(set1-Japan-FD1089A317-0167)|光环坦克(第1套-日版-FD1089A317-0167)
aurailjd.zip|Aurail(set1-Japan-FD1089A317-0167decrypted)|光环坦克(第1套-日版-FD1089A317-0167解密版)
avefenix.zip|AveFenix(Electrogame-SpanishbootlegofPhoenix)|高速菲尼克斯(Electrogame-火凤凰西班牙A版)
avefenixl.zip|AveFenix(Laguna-SpanishbootlegofPhoenix)|高速菲尼克斯(Laguna-火凤凰西班牙A版)
avefenixrf.zip|AveFenix(RecreativosFranco-SpanishbootlegofPhoe|高速菲尼克斯(RecreativosFranco-火凤凰西班牙A版)
avengers2.zip|Avengers(USset2)|复仇者(美版第2套)
azurian.zip|AzurianAttack|防卫射击
b2b.zip|BangBangBusters(2010NCIrelease)|砰砰克星(2010NCI发布)
backfirt.zip|BackFire(Tecmo-bootleg)|烽火佳人(Tecmo-A版)
baddudes.zip|BadDudesvs.Dragonninja(US)|龙行忍者(美版)
bakatono.zip|BakatonosamaMahjongManyuuki(MOM-002)(MOH-002)|傻瓜殿下麻将漫游记(MOM-002)(MOH-002)
bakubrkr.zip|BakuretsuBreaker(Japan)|爆裂者(日版)
bakutotu.zip|BakutotsuKijuutei|爆突机铳艇
balcube.zip|BalCube|弹跳方块
ballboy.zip|BallBoy|球童
ballbros.zip|BalloonBrothers|气球兄弟
bang.zip|Bang!|枪声
bangball.zip|BangBangBall(v1.05)|碰碰球(v1.05)
bangbead.zip|BangBead|碰碰球
bangbedp.zip|BangBead(Prototype?)|碰碰球(工程版?)
bangj.zip|GunGabacho(Japan)|枪王加巴乔
bankp.zip|BankPanic|银行惊魂记
baraduke.zip|Baraduke|爆突
batlbubl.zip|BattleBubble(v2.00)|战斗气泡(v2.00)
batman2.zip|BatmanPart2|蝙蝠车2
batrider.zip|ArmedPoliceBatrider(Europe)(FriFeb131998)|蝙蝠骑警-装甲军团(欧版)(FriFeb131998)
batriderc.zip|ArmedPoliceBatrider(China)(FriFeb131998)|蝙蝠骑警-装甲军团(中国版)(FriFeb131998)
batriderhk.zip|ArmedPoliceBatrider-AVersion(HongKong)(MonDec|蝙蝠骑警-装甲军团(香港版-A版本)(MonDec221997)
batriderj.zip|ArmedPoliceBatrider-BVersion(Japan)(FriFeb13|蝙蝠骑警-装甲军团(日版-B版本)(FriFeb131998)
batriderja.zip|ArmedPoliceBatrider-AVersion(Japan)(MonDec22|蝙蝠骑警-装甲军团(日版-A版本)(MonDec221997)
batriderk.zip|ArmedPoliceBatrider(Korea)(FriFeb131998)|蝙蝠骑警-装甲军团(韩版)(FriFeb131998)
batridert.zip|ArmedPoliceBatrider-AVersion(Taiwan)(MonDec22|蝙蝠骑警-装甲军团(台湾版-A版本)(MonDec221997)
batrideru.zip|ArmedPoliceBatrider(U.S.A.)(FriFeb131998)|蝙蝠骑警-装甲军团(美版)(FriFeb131998)
batsugun.zip|Batsugun(set1)|疯狂枪支(第1套)
batsuguna.zip|Batsugun(set2)|疯狂枪支(第2套)
batsugunb.zip|Batsugun(KoreanPCB)|疯狂枪支(韩国机板)
batsugunsp.zip|Batsugun(SpecialVer.)|疯狂枪支(特别版)
battlane.zip|BattleLane!Vol.5(set1)|战斗之路!Vol.5(第1套)
battlane2.zip|BattleLane!Vol.5(set2)|战斗之路!Vol.5(第2套)
battlane3.zip|BattleLane!Vol.5(set3)|战斗之路!Vol.5(第3套)
battlex.zip|BattleCross|战斗飞梭
battlnts.zip|Battlantis(programcodeG)|反战英雄(程序代码G)
battlntsa.zip|Battlantis(programcodeF)|反战英雄(程序代码F)
battlntsj.zip|Battlantis(Japan-programcodeE)|反战英雄(日版-程序代码E)
battroad.zip|TheBattle-Road|赛车之路
bayroute.zip|BayRoute(set3-World-FD1094317-0116)|海湾战争(第3套-世界版-FD1094317-0116)
bayroute1.zip|BayRoute(set1-US-unprotected)|海湾战争(第1套-美版-无保护版)
bayrouted.zip|BayRoute(set3-World-FD1094317-0116decrypted)|海湾战争(第3套-世界版-FD1094317-0116解密版)
bayroutej.zip|BayRoute(set2-Japan-FD1094317-0115)|海湾战争(第2套-日版-FD1094317-0115)
bayroutejd.zip|BayRoute(set2-Japan-FD1094317-0115decrypted)|海湾战争(第2套-日版-FD1094317-0115解密版)
